№,名称,よみ,所在地,所有者,種別,指定年月日
84,上平窪のシイノキ群,かみひらくぼのシイノキぐん,平上平窪字横山,いわき市,県指定　天然記念物,1953年10月1日
85,石森のカリン,いしもりのカリン,平四ッ波字石森,忠教寺,県指定　天然記念物,1955年12月27日
86,小浜のコシダ・ウラジロ自生地,おばまのコシダ・ウラジロじせいち,小浜町渚,個人,県指定　天然記念物,1956年9月4日
87,上三坂のシダレグリ自生地,かみみさかのシダレグリじせいち,三和町上三坂字作田,上三坂区,県指定　天然記念物,1956年9月4日
88,波立海岸の樹叢,はったちかいがんのじゅそう,久之浜町田之網字横内,波立寺,県指定　天然記念物,1956年9月4日
89,八坂神社の二本杉,やさかじんじゃのにほんすぎ,遠野町入遠野字天王,八坂神社,県指定　天然記念物,1961年3月22日
90,いわき市入間沢産クビナガリュウとノコギリエイの化石,いわきしいるまさわさんクビナガリュウとノコギリエイのかせき,常磐湯本町向田（石炭・化石館）,いわき市,県指定　天然記念物,1991年3月22日
91,いわき市上高久産ステゴロフォドン象の下顎骨化石,いわきしかみたかくさんステゴロフォドンぞうのかがっこつかせき,常磐湯本町向田（石炭・化石館）,いわき市,県指定　天然記念物,1991年3月22日
92,飯野八幡宮幣殿拝殿,いいのはちまんぐうへいでんはいでん,平字八幡小路,飯野八幡宮,市指定　有形文化財建造物,1982年3月26日
93,専称寺鐘楼堂,せんしょうじしょうろうどう,平山崎字梅福山,専称寺,市指定　有形文化財建造物,1984年1月24日
94,龍門寺楼門（附）棟札木簡2枚,りゅうもんじろうもん,平下荒川字諏訪下,龍門寺,市指定　有形文化財建造物,1985年3月29日
95,密蔵院楼門（附）棟札木簡1枚,みつぞういんろうもん,平沼ノ内字代ノ下,密蔵院,市指定　有形文化財建造物,1988年3月25日
96,長福寺　本堂　山門,ちょうふくじ　ほんどう　さんもん,小川町下小川字上ノ台,長福寺,市指定　有形文化財建造物,1992年3月27日（2013年4月24日）
97,旧川口家住宅,きゅうかわぐちけじゅうたく,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形文化財建造物,1995年4月28日
98,旧猪狩家住宅,きゅういがりけじゅうたく,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形文化財建造物,1996年7月19日
99,旧高木家住宅,きゅうたかぎけじゅうたく,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形文化財建造物,1997年5月13日
100,旧芳賀家住宅,きゅうはがけじゅうたく,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形文化財建造物,1997年5月13日
101,江尻家住宅,えじりけじゅうたく,泉町下川字井戸内,個人,市指定　有形文化財建造物,2001年4月27日
102,浄光院銅造宝篋印塔,じょうこういんどうぞうほうきょういんとう,小名浜字古湊,浄光院,市指定　有形文化財建造物,2002年4月30日
103,柳沢観音堂,やなぎさわかんのんどう,小名浜野田字峰岸,禅福寺,市指定　有形文化財建造物,2003年4月25日
104,大国魂神社本殿（附）棟札7枚,おおくにたまじんじゃほんでん,平菅波字宮前,大国魂神社,市指定　有形文化財建造物,2004年4月28日
105,八劔神社本殿,やつるぎじんじゃほんでん,平下高久字馬場,八劔神社,市指定　有形文化財建造物,2005年4月27日
106,温泉神社本殿（附）棟札8枚、扁額1面,おんせんじんじゃほんでん,常磐湯本町三函,温泉神社,市指定　有形文化財建造物,2005年4月27日
107,出羽神社本殿（附）社号額1面、棟札3枚,でわじんじゃほんでん,平中神谷字石脇,出羽神社,市指定　有形文化財建造物,2007年6月27日
108,小名浜諏訪神社境内末社　人形六社神社本殿（附）棟札3枚,おなはますわじんじゃけいだいまつしゃ　にんぎょうろくしゃじんじゃほんでん,小名浜諏訪町,諏訪神社,市指定　有形文化財建造物,2010年4月23日
109,普門寺観音堂（附）扁額1面,ふもんじかんのんどう,平字北目町,普門寺,市指定　有形文化財建造物,2013年4月24日
110,江名諏訪神社本殿,えなすわじんじゃほんでん,江名字走出,諏訪神社,市指定　有形文化財建造物,2014年5月1日
111,吉田家門,よしだけもん,泉町三丁目,個人,市指定　有形文化財建造物,2016年5月2日
112,浄應寺山門,じょうおうじさんもん,平豊間字寺前,浄應寺,市指定　有形文化財建造物,2017年5月1日
113,円通寺鐘楼門,えんつうじしょうろうもん,遠野町上遠野字根小屋,円通寺,市指定　有形文化財建造物,2020年5月1日
114,法田寺観音堂,ほうでんじかんのんどう,山田町仁井谷,高蔵寺,市指定　有形文化財建造物,2025年5月1日
115,専称寺開山堂,せんしょうじかいさんどう,平山崎字梅福山,専称寺,市指定　有形文化財建造物,2025年5月1日
116,絹本著色真言八祖像,けんぽんちゃくしょくしんごんはっそぞう,四倉町薬王寺字塙,薬王寺,市指定　有形文化財絵画,1976年5月27日
117,絹本著色涅槃図（附）画涅槃幀讃并序,けんぽんちゃくしょくねはんず,四倉町薬王寺字塙,薬王寺,市指定　有形文化財絵画,1976年5月27日
118,絹本著色二十四孝図屏風,けんぽんちゃくしょくにじゅうしこうずびょうぶ,平字一町目,個人,市指定　有形文化財絵画,1976年11月3日
119,源為朝の図額,みなもとのためとものずがく,平字八幡小路,飯野八幡宮,市指定　有形文化財絵画,1977年5月4日
120,鬼と力士の首綱引きの図額,おにとりきしのくびつなひきのずがく,小名浜住吉字住吉,住吉神社,市指定　有形文化財絵画,1977年5月4日
121,紙本著色十二天図,しほんちゃくしょくじゅうにてんず,四倉町長友字大宮作,長隆寺,市指定　有形文化財絵画,1979年4月14日
122,杏所陸前浜街道紀行巻,きょうしょりくぜんはまかいどうきこうかん,植田町中央一丁目,個人,市指定　有形文化財絵画,1985年3月29日
123,絹本著色両界曼茶羅,けんぽんちゃくしょくりょうかいまんだら,小名浜住吉字搦町,遍照院,市指定　有形文化財絵画,1987年3月31日
124,紙本著色黒石大明神縁起絵巻,しほんちゃくしょくくろいしだいみょうじんえんぎえまき,（美術館寄託中）,泉町神笑区,市指定　有形文化財絵画,1990年3月27日
125,絵馬　渡辺綱の図,えま　わたなべのつなのず,平字八幡小路,飯野八幡宮,市指定　有形文化財絵画,1999年4月30日
126,十王図,じゅうおうず,平山崎字矢ノ目,如来寺,市指定　有形文化財絵画,2001年4月27日
127,浄蓮社良清上人画像,じょうれんしゃりょうせいしょうにんがぞう,平山崎字矢ノ目,如来寺,市指定　有形文化財絵画,2001年4月27日
128,常勝院着色杉戸絵,じょうしょういんちゃくしょくすぎとえ,平中平窪字岩間,常勝院,市指定　有形文化財絵画,2002年4月26日
129,絹本著色勿来関詠歌の図,けんぽんちゃくしょくなこそのせきえいかのず,勿来町関田長沢（勿来関文学歴史館）,勿来関文学歴史館,市指定　有形文化財絵画,2019年5月7日
130,翁面,おきなめん,（美術館寄託中）,津神社,市指定　有形文化財彫刻,1968年12月27日
131,木造千手観音立像,もくぞうせんじゅかんのんりゅうぞう,平絹谷字諏訪作,絹谷区,市指定　有形文化財彫刻,1968年12月27日
132,銅造阿弥陀如来坐像,どうぞうあみだにょらいざぞう,鹿島町御代字寺ノ入,光西寺,市指定　有形文化財彫刻,1968年12月27日
133,木造興正菩薩坐像,もくぞうこうしょうぼさつぞう,小川町下小川字上ノ台,長福寺,市指定　有形文化財彫刻,1972年10月12日
134,雷電面,らいでんめん,（美術館寄託中）,出羽神社,市指定　有形文化財彫刻,1973年6月30日
135,木造男神像,もくぞうだんしんぞう,内郷綴町秋山,個人,市指定　有形文化財彫刻,1981年4月23日
136,木造虚空蔵菩薩坐像,もくぞうこくうぞうぼさつざぞう,平下荒川字諏訪下,龍門寺,市指定　有形文化財彫刻,1989年12月4日
137,木造聖観音菩薩立像,もくぞうしょうかんのんぼさつりゅうぞう,平山崎字梅福山,専称寺,市指定　有形文化財彫刻,1989年12月4日
138,木造聖観音菩薩立像,もくぞうしょうかんのんぼさつりゅうぞう,好間町下好間字大館,青雲院,市指定　有形文化財彫刻,1989年12月4日
139,木造虚空蔵菩薩坐像,もくぞうこくうぞうぼさつざぞう,平塩字宮前,塩区,市指定　有形文化財彫刻,1992年3月27日
140,木造如意輪観音坐像,もくぞうにょいりんかんのんざぞう,平字北目町,普門寺,市指定　有形文化財彫刻,1994年3月25日
141,木造地蔵菩薩半跏像（附）五重相伝6紙、布薩戒血脈1紙、口伝類7紙、紙札4枚,もくぞうじぞうぼさつはんかぞう,遠野町上遠野字根小屋,円通寺,市指定　有形文化財彫刻,2004年4月28日
142,木造十一面観音菩薩立像,もくぞうじゅういちめんかんのんぼさつりゅうぞう,小名浜野田字峰岸,禅福寺,市指定　有形文化財彫刻,2005年4月27日
143,木造迦葉・阿難立像,もくぞうかしょう・あなんりゅうぞう,常磐湯本町三函,勝行院,市指定　有形文化財彫刻,2006年4月28日
144,木造阿弥陀如来立像,もくぞうあみだにょらいりゅうぞう,常磐湯本町三函,惣善寺,市指定　有形文化財彫刻,2008年3月28日
145,木造阿弥陀如来坐像,もくぞうあみだにょらいざぞう,勿来町白米赤坂,白米区,市指定　有形文化財彫刻,2010年1月21日
146,木造金剛力士立像,もくぞうこんごうりきしりゅうぞう,勿来町白米赤坂,白米区,市指定　有形文化財彫刻,2010年4月23日
147,木造男神坐像,もくぞうだんしんざぞう,平下高久字馬場,八劔神社,市指定　有形文化財彫刻,2014年5月1日
148,木造不動明王立像,もくぞうふどうみょうおうりゅうぞう,遠野町上遠野字根小屋,円通寺,市指定　有形文化財彫刻,2016年5月2日
149,木造阿弥陀如来立像（旧秀明院阿弥陀堂本尊）（附）棟札1枚,もくぞうあみだにょらいりゅうぞう（きゅうしゅうみょういんあみだどうほんぞん）,小名浜字古湊,浄光院,市指定　有形文化財彫刻,2018年5月1日
150,木造阿弥陀如来立像,もくぞうあみだにょらいりゅうぞう,勿来町窪田大槻,窪田第四区,市指定　有形文化財彫刻,2019年5月7日
151,石造釈迦如来坐像,せきぞうしゃかにょらいざぞう,平字長橋町,性源寺,市指定　有形文化財彫刻,2021年5月6日
152,木造不動明王立像,もくぞうふどうみょうおうりゅうぞう,小名浜住吉字搦町,遍照院,市指定　有形文化財彫刻,2026年5月1日
153,木造如来形坐像,もくぞうにょらいぎょうざぞう,小名浜住吉字搦町,遍照院,市指定　有形文化財彫刻,2026年5月1日
154,木造天部形立像,もくぞうてんぶぎょうりゅうぞう,小名浜住吉字搦町,遍照院,市指定　有形文化財彫刻,2026年5月1日
