№,名称,よみ,所在地,所有者,種別,指定年月日
231,奥州磐城平城下絵図,おうしゅういわきたいらじょうかえず,小名浜字上町,個人,市指定　有形文化財歴史資料,2016年5月2日
232,文禄四年岩崎遍照院分野帳（附）慶長七年岩城岩崎郡遍照院御縄打水帳,ぶんろくよねんいわさきへんじょういんぶんのちょうつけたりけいちょうしちねんいわきいわさきぐんへんじょういんおんなわうちみずちょう,小名浜住吉字搦町,遍照院,市指定　有形文化財歴史資料,2026年5月1日
233,いわき絵のぼり製作技術,いわきえのぼりせいさくぎじゅつ,平正月町,個人,市指定　無形文化財,2011年10月20日
234,久之浜張子木型,ひさのはまはりこきがた,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形民俗文化財,1972年10月12日
235,飯野八幡宮流鏑馬の用具類及び献饌の祭器,いいのはちまんぐうやぶさめのようぐるいおよびけんぜんのさいき,平字八幡小路,飯野八幡宮,市指定　有形民俗文化財,1981年4月23日
236,絵馬　白鍬祭図,えま　しらくわまつりず,平北神谷字神下,白山神社,市指定　有形民俗文化財,1997年5月13日
237,鰹船模型,かつおぶねもけい,中央台飯野一丁目,個人,市指定　有形民俗文化財,2001年4月27日
238,上遠野紙製作用具,かとおのかみせいさくようぐ,遠野町入遠野字諏訪（いわき遠野生活アートギャラリー）（遠野町入遠野字越台遠野オートキャンプ場）,遠野地域づくり振興協議会,市指定　有形民俗文化財,2002年4月30日
239,金刀比羅神社の絵馬,ことひらじんじゃのえま,常磐関船町諏訪下,金刀比羅神社,市指定　有形民俗文化財,2003年4月25日
240,炭鉱の生産用具類,たんこうのせいさんようぐるい,内郷白水町広畑（みろく沢炭鉱資料館）,個人,市指定　有形民俗文化財,2006年4月28日
241,御宝殿稚児田楽・風流の用具類,ごほうでんちごでんがく・ふりゅうのようぐるい,錦町御宝殿,熊野神社,市指定　有形民俗文化財,2017年5月1日
242,御宝殿熊野神社鉾立神事衣装,ごほうでんくまのじんじゃほこたてしんじいしょう,錦町御宝殿,御宝殿熊野神社稚児田楽風流保存会,市指定　有形民俗文化財,2021年5月6日
243,白色尉面・黒色尉面（附）鈴・面箱,はくしょくじょうめんこくしょくじょうめん,鹿島町下矢田字散野（伝承郷）,いわき市,市指定　有形民俗文化財,2022年5月2日
244,赤井諏訪神社の山外舞,あかいすわじんじゃのやまとまい,平赤井字団粉田,赤井諏訪神社山外舞,市指定　無形民俗文化財,1976年5月27日
245,大国魂神社の大和舞,おおくにたまじんじゃのやまとまい,平菅波字宮前,大国魂神社大和舞伝承会,市指定　無形民俗文化財,1988年1月20日
246,じゃんがら念仏踊,じゃんがらねんぶつおどり,市内一円,じゃんがら念仏踊保存団体連合会,市指定　無形民俗文化財,1992年3月27日
247,いわきの獅子舞,いわきのししまい,市内一円,いわきの獅子舞保存団体連合会,市指定　無形民俗文化財,1992年3月27日
248,田人の念仏太鼓,たびとのねんぶつたいこ,田人町,田人の念仏太鼓保存団体連合会,市指定　無形民俗文化財,1993年3月26日
249,井上の神楽,いのうえのかぐら,山田町井上,井上神楽保存会,市指定　無形民俗文化財,1994年3月25日
250,沼ノ内の水祝儀,ぬまのうちのみずしゅうぎ,平沼ノ内字新街,沼ノ内区,市指定　無形民俗文化財,2003年4月25日
251,住吉神社の流鏑馬並びに勅使参向式,すみよしじんじゃのやぶさめならびにちょくしさんこうしき,小名浜住吉字住吉,住吉神社,市指定　無形民俗文化財,2004年4月28日
252,勿来國魂神社の粕掴み及び関連行事,なこそくにたまじんじゃのかすつかみおよびかんれんぎょうじ,勿来町窪田馬場,國魂神社,市指定　無形民俗文化財,2023年5月1日
253,西郷貝塚,にしごうかいづか,常磐西郷町金山,いわき市,市指定　史跡,1976年11月3日
254,住吉磨崖仏,すみよしまがいぶつ,小名浜住吉字搦,遍照院,市指定　史跡,1986年3月28日
255,八幡横穴,やあどよこあな,平下高久字八幡,個人,市指定　史跡,1986年3月28日
256,板石塔婆,いたいしとうば,四倉町薬王寺字塙,薬王寺,市指定　史跡,1993年3月26日
257,鳥居家墓所,とりいけぼしょ,平字胡摩沢,長源寺,市指定　史跡,1997年5月13日
258,堀忠俊墓所,ほりただとしぼしょ,平字胡摩沢,長源寺,市指定　史跡,1997年5月13日
259,城西寺跡,じょうさいじあと,好間町下好間字大館,下好間区,市指定　史跡,1997年5月13日
260,高月館跡,たかつきたてあと,平字高月,個人,市指定　史跡,1999年4月30日
261,上遠野城跡,かとおのじょうあと,遠野町上遠野,個人,市指定　史跡,2003年4月25日
262,腰巻横穴墓群A18号横穴墓,こしまきよこあなぼぐんえーじゅうはちごうよこあなぼ,平神谷作字腰巻,個人,市指定　史跡,2005年9月30日
263,岩城家墓所,いわきけぼしょ,平下荒川字諏訪下,龍門寺,市指定　史跡,2014年5月1日
264,大館城跡,おおだてじょうあと,好間町下好間字大館,いわき市,市指定　史跡,2017年5月1日
265,三坂城跡,みさかじょうあと,三和町上三坂字本町、中三坂字大根田、中三坂字羽生,上三坂区、中三坂区ほか,市指定　史跡,2017年5月1日
266,磐城平城本丸跡,いわきたいらじょうほんまるあと,平字旧城跡,いわき市,市指定　史跡,2022年5月2日
267,白水阿弥陀堂の大イチョウ,しらみずあみだどうのおおイチョウ,内郷白水町広畑,願成寺,市指定　天然記念物,1968年12月27日
268,高倉山古生層,たかくらやまこせいそう,四倉町玉山字元村,個人,市指定　天然記念物,1972年10月12日
269,佐麻久峯神社社叢暖地植生,さまくみねじんじゃしゃそうだんちしょくせい,平中山字宮下,佐麻久峯神社,市指定　天然記念物,1976年5月27日
270,御斎所山熊野神社社叢,ごさいしょやまくまのじんじゃしゃそう,田人町黒田字斉道,熊野神社,市指定　天然記念物,1976年11月3日
271,上平のナギ,うわだいらのナギ,小川町上平字熊ノ前,個人,市指定　天然記念物,1977年5月4日
272,石森山海底火山岩魂,いしもりやまかいていかざんがんかい,平四ッ波字石森,いわき市,市指定　天然記念物,1977年11月1日
273,大平熊野神社のムクロジ・サカキ群,おおだいらくまのじんじゃのムクロジ・サカキぐん,遠野町大平字物見岡,熊野神社,市指定　天然記念物,1977年11月1日
274,差塩湿原,さいそしつげん,三和町差塩字東作,いわき市,市指定　天然記念物,1986年3月28日
275,江名のタブ林,えなのタブりん,江名字走出,個人,市指定　天然記念物,1988年3月25日
276,南沢化石産出地,みなみざわかせきさんしゅつち,大久町小久字南沢,いわき市,市指定　天然記念物,1989年3月25日
277,東松院のモミ群,とうしょういんのモミぐん,川前町下桶売字久保田,東松院,市指定　天然記念物,1991年3月28日
278,三森渓谷のアカヤシオ自生地,みつもりけいこくのあかやしおじせいち,大久町大久,林野庁,市指定　天然記念物,1991年3月28日
279,内倉湿原,うちくらしつげん,小川町上小川字沼,個人,市指定　天然記念物,1991年3月28日
280,藤原のヤマナシ,ふじわらのヤマナシ,常磐藤原町字別所,個人,市指定　天然記念物,1993年3月26日
281,アンモナイトセンター内化石包蔵地,アンモナイトセンターないかせきほうぞうち,大久町大久字鶴房（アンモナイトセンター）,いわき市,市指定　天然記念物,1993年3月26日
282,大國魂神社社叢,おおくにたまじんじゃしゃそう,平菅波字宮前,大国魂神社,市指定　天然記念物,1998年4月10日
283,観音寺跡のスダジイ,かんのんじあとのスダジイ,小川町柴原字舘下,個人,市指定　天然記念物,1999年4月30日
284,諏訪神社のシダレザクラ,すわじんじゃのシダレザクラ,小川町高萩字家ノ前,諏訪神社,市指定　天然記念物,1999年4月30日
285,八幡神社のスダジイ,はちまんじんじゃのスダジイ,渡辺町田部字清水,八幡神社,市指定　天然記念物,1999年4月30日
286,下桶売の種まきザクラ,しもおけうりのたねまきザクラ,川前町下桶売字城木坂　,個人,市指定　天然記念物,2000年4月28日
287,常福寺の龍燈杉,じょうふくじのりゅうとうすぎ,平赤井字赤井嶽,常福寺,市指定　天然記念物,2002年4月26日
288,大久川産クビナガリュウ化石,おおひさがわさんクビナガリュウかせき,常磐湯本町向田（石炭・化石館）,いわき市,市指定　天然記念物,2005年4月27日
289,下三坂の種まきザクラ,しもみさかのたねまきざザクラ,三和町下三坂字日向・永久保地内,財務省ほか（いわき市）,市指定　天然記念物,2006年3月24日
290,本行寺のオハツキイチョウ,ほんぎょうじのオハツキイチョウ,平上片寄字寺下,本行寺,市指定　天然記念物,2014年5月1日
291,井戸沢断層（塩ノ平断層）,いとざわだんそう（しおのひらだんそう）,田人町黒田字塩ノ平,個人,市指定　天然記念物,2016年5月2日
292,波立寺のビャクシン（イブキ）,はりゅうじのビャクシン（イブキ）,久ノ浜町田之網,波立寺,市指定　天然記念物,2024年4月30日
