都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
222143,,静岡県,藤枝市,朝比奈大龍勢,アサヒナオオリュウセイ,,,県指定無形民俗文化財,,,静岡県藤枝市岡部町新舟（六社神社）,,,,,,1,,,保存会,2003-03-24,,,,,,,,,新舟（にゅうぶね）の六社神社の秋の例祭で奉納されてきた花火の一種である。始まりははっきりしないが、龍勢花火の記録で最も古いものは明治5年（1872）の「ハナビヲボイ」（花火覚）である。現在は朝比奈川流域の７つの地区にある13の「連（れん）」と呼ばれるグループにより龍勢がつくられ、献発されている。龍勢花火の製造方法は手引き書があったわけではなく、火薬の配合をはじめ、原料や素材など連ごとに口伝により伝わったという。龍勢花火は吹き筒（火薬筒）・ガ（曲物（きょくもの）の収納）・尾（蛇（かじ））の３つからる。吹き筒はロケットのエンジン部分にあたり、ガには花傘・連星・龍などのしかけが詰められ、舵となる尾はまっすぐな竹で作られている。現在は2年に一度10月の例祭で奉納されている。,,,
222143,,静岡県,藤枝市,安楽寺の鰐口,アンラクジノワニグチ,,,県指定有形文化財,美術工芸品,,静岡県藤枝市北方962,,,,,,1,,,安楽寺,1958-10-30,,,,,,,,,鰐口は、寺院や神社の軒先に懸け、参拝者が打ち鳴らす金属製の楽器（梵音具(ぼんおんぐ)）である。形は直径20.5cm・厚さ7.0cmの円盤状で、音が反響するように中は空洞で下半は鰐の口のように開いている。中央の撞座(つきざ)は蓮華文が鋳出され、中央から外縁にかけてさらに円が重なり、ここに銘文が刻まれている。銘文には、天文７年(1538)に大工（鋳物の職人）又二郎が製作、願主は大代助二郎であることが記されている。,,,
222143,,静岡県,藤枝市,太刀　銘小駒宗太平胤長造,タチ　メイオゴマソウタタイラノタネナガゾウ,,,県指定有形文化財,美術工芸品,,静岡県藤枝市,,,,,,1,,,個人,1964-04-21,,,,,,,,,胤長は大慶直胤の門で、伊豆韮山代官・江川太郎左衛門英龍の抱え鍛冶で伊豆韮山において鍛刀している。本作は胤長の作品の中で最も出来の良い作品である。銘文により小駒宗太と名乗ったことが分かり、資料的にも貴重である。,,,
222143,,静岡県,藤枝市,紙本墨書縁生論,シホンボクショエンジョウロン,,,県指定有形文化財,美術工芸品,,静岡県藤枝市原6-1,,,,,,1,,,清水寺,1956-01-07,,,,,,,,,黄檗(きはだ)で染めた料紙(りょうし)に、墨書された写経で、巻首（内題）と、巻末（尾題（びだい））には「縁生論」とあり、奥書（おくがき）に神護景雲（じんごけいうん）2年（785）5月13日、仏弟子（称徳天皇）が先聖（聖武天皇と淳仁天皇の2説がある）のために一切経(いっさいきょう)一部を写すという内容が記されている。このことから、奈良時代後期を代表する写経である「景雲経」のひとつであることがわかる。景雲経は、称徳天皇（在位764－769）が先聖の供養のために発願(ほつがん)した、約5千巻の経典群である。景雲経は東大寺尊勝院の聖語蔵(しょうごぞう)という経蔵に収納されていたが、現在は正倉院に約740巻あり、このほか約50巻が各地に分散して伝来している。全長478.8cm・縦27.9cmで、界高23.3cm・界巾2.4cm、界線を幅広く引き、ゆったりとした肉太の書体が特徴である。奥書まで完備しているものは数少なく、また地方に伝来する例として貴重なものである。,,,
222143,,静岡県,藤枝市,志太郡衙関連遺跡出土文字資料,シダグンガカンレンイセキシュツドモジシリョウ,,,県指定有形文化財,美術工芸品,藤枝市郷土博物館,静岡県藤枝市若王子500,,,,(054)645-1100,,1,,,市教委,2004-02-27,,,,,,,,,国指定史跡「志太郡衙跡」の出土遺物のうち、「大領(たいりょう)」「少領(しょうりょう)」など郡役人の官職名、「志太」の郡名が記された墨書土器や木簡は、この遺跡が郡役所であることを示す重要な証拠である。また、近接する秋合(あきあい・あきあわせ)遺跡で出土した、「刑」と記す墨書土器は、志太郡のなかにあった刑部郷(おさかべごう)をあらわすものである。郡衙の関連工房とみられる山廻(やままわり)遺跡の墨書土器とともに、合計338点の文字資料は、古代の郡衙と周辺に広がる関連施設の姿を示す重要な資料である。,,,
222143,,静岡県,藤枝市,田中城址,タナカジョウシ,,,市指定史跡,,,静岡県藤枝市田中一丁目　外,,,,,,1,,,藤枝市　他,1957-03-16,,,,,,,,,田中城址は瀬戸川に沿った微高地上に位置しており、戦国時代には三ノ丸までだったが、江戸時代初頭に外曲輪（そとくるわ）が増設された。4重の堀に囲まれ、「亀城」とも呼ばれる直径約600ｍの同心円形の縄張りは全国的にも類例がない。今から500年ほど前、この地の土豪・一色氏が今川氏の命を受け居館を拡大して築城したのが始まりと伝えられ、今川時代には徳一色（とくいっしき）城と呼ばれていた。永禄13年（1570）、駿河に侵攻した武田信玄によって攻略され、武田流の馬出曲輪（うまだしくるわ）が築かれ田中城と名付けられた。天正年間（1573－1592）には武田氏と徳川氏による攻防戦が行われ、江戸時代には田中藩が置かれて、譜代大名12氏21名が城主となった。現在、城跡の中心部には小・中学校が建ち宅地化されているが、二ノ堀・三ノ堀・三日月堀・三ノ土塁などが部分的に残され、城の面影をとどめている。,,,
222143,,静岡県,藤枝市,千貫堤,センガンヅツミ,,,市指定史跡,,,静岡県藤枝市下青島,,,,,,1,,,個人,1959-01-21,,,,,,,,,慶長9年（1604）・寛永４年（1627）の大井川の大洪水でこの地域一帯は甚大な被害を蒙ったため、寛永12年に田中藩主となった水野忠善（みずのただよし）(1612ー1676)は、幕命を受けて大井川の氾濫から藩領の村々を守るために堤防の築造に取りかかったという。堤の規模は全長500ｍを超え、幅32ｍ、高さ3.6mほどだったと推定される。千貫もの莫大な費用がかかったことから、千貫堤の名称が付けられたという。,,,
222143,,静岡県,藤枝市,今川泰範の五輪塔,イマガワヤスノリノゴリントウ,,,市指定史跡,,,静岡県藤枝市下之郷1225,,,,,,1,,,長慶寺,1959-08-18,,,,,,,,,今川氏は室町将軍・足利氏の一族で、今川範国（のりくに）の時に駿河守護となり、市内では葉梨地区などを領地とした。今川泰範（1334－1409）はその孫で長慶寺は泰範の菩提寺である。五輪塔は高さ約171cmで、泰範の供養塔として伝わっている。,,,
222143,,静岡県,藤枝市,雪斎長老の無縫塔,セッサイチョウロウノムホウトウ,,,市指定史跡,,,静岡県藤枝市下之郷1225,,,,,,1,,,長慶寺,1959-08-18,,,,,,,,,無縫塔は僧侶の墓石である。太源崇孚（たいげんすうふ）雪斎（1496ー1555）は臨済宗の僧で、戦国大名今川義元に仕え、参謀としても知られる。長慶寺に隠居し、没後は後奈良天皇から「宝珠護国禅師（ほうじゅごこくぜんじ）」と諡名(おくりな)された。この無縫塔には、この諡名が刻まれている。,,,
222143,,静岡県,藤枝市,岡部氏墓,オカベシハカ,,,市指定史跡,,,静岡県藤枝市岡部町子持坂501,,,,,,1,,,万松院,1972-07-01,,,,,,,,,岡部氏は藤原氏の一族で平安時代に仮宿地域に土着したと伝えられる。その後、鎌倉幕府の御家人となり、岡部・宇都谷（うつのや）郷の領主として歴史書に登場し、戦国時代には今川氏の家臣として知られるようになる。子持坂の万松院は仮宿地域を望む山の中腹にあり、岡部氏の菩提寺とされている。境内には塀に囲まれた2基の宝筐印塔（ほうきょういんとう）と1基の五輪塔があり、岡部氏一族の墓と伝えられている。,,,
222143,,静岡県,藤枝市,衣原古墳群　,コロンバラコフングン,,,市指定史跡,,,静岡県藤枝市中ノ合・下之郷,,,,,,1,,,個人,1956-12-02,,,,,,,,,標高30～60ｍの低丘陵上に広がる古墳群で、開墾などの際に遺物が出土して、古くから古墳の存在が知られていた。11基の古墳があったと考えられるが、現存しているのは4基である。新東名高速道路建設に伴い、発掘調査された11号墳は、長さ4.8ｍ・最大幅1.8ｍ、両袖式(りょうそでしき)の横穴式石室で、土器・鉄製の武器類・馬具など豊富な副葬品が出土した。年代は6世紀中頃～7世紀の初めである。,,,
222143,,静岡県,藤枝市,岡部宿本陣址,オカベシュクホンジンアト,,,市指定史跡,,,静岡県藤枝市岡部町岡部831,,,,,,1,,,藤枝市,1973-04-01,,,,,,,,,内野本陣の敷地は、ほぼ当時のまま残り、本陣跡として指定されている。参勤交代の時に大名が宿泊する本陣は岡部宿に２軒があり、内野本陣の向かいに仁藤本陣があった。幕末の内野本陣は、表間口15間（約27ｍ）、奥行29間（約52m）の敷地があり、当時の井戸や14代将軍・徳川家茂（いえもち）が休憩したことにちなむ「将軍稲荷」などが残っている。,,,
222143,,静岡県,藤枝市,入野古墳,イリノコフン,,,市指定史跡,,,静岡県藤枝市岡部町入野,,,,,,1,,,個人,1973-04-01,,,,,,,,,入野西古墳群のなかのひとつで、標高105mの山腹に開口する横穴式石室墳(よこあなしきせきしつふん)である。石室の大きさは全長7.5m・最大幅1.8ｍ、天井石まで良好に保存されている。明治時代頃から知られていたようで、副葬品は掘り出されらしく現在は残っていない。石室は、玄室(げんしつ)と羨道(せんどう)を立柱石(りっちゅうせき)（門柱のような形の石）で区切る擬似両袖(ぎじりょうそで)式で、この型式から古墳時代後期（7世紀代）に築造されたものとみられる。,,,
222143,,静岡県,藤枝市,つたの細道,ツタノホソミチ,,,市指定史跡,,,静岡県藤枝市岡部町岡部,,,,,,1,,,市教委,1973-04-01,,,,,,,,,蔦（つた）の細道は、藤枝市と静岡市を分ける宇津ノ谷峠を越える道で、「宇津の山」と平安時代の『伊勢物語』に記されて以降、歌枕の地として知られる。戦国時代、天正18年(1590)に豊臣秀吉が小田原の後北条氏を攻めるために新しく整備した道と伝えられる「東海道宇津ノ谷峠越」より以前の、最古の峠道である。,,,
222143,,静岡県,藤枝市,朝比奈城址,アサヒナジョウシ,,,市指定史跡,,,静岡県藤枝市岡部町殿,,,,,,1,,,個人,1973-04-01,,,,,,,,,朝比奈城址は標高180ｍの山頂から分かれた２つの尾根に遺構が分布している。東の尾根上には３つの堀切と本曲輪（ほんくるわ）、二ノ曲輪が設けられている。また、二ノ曲輪の周囲には階段状に平場が造られている。山頂から南に延びる尾根には南側で幅約55m、長さ80ｍの平坦部があり、この平坦部の北側に、尾根を分断する幅３ｍの堀切と幅１ｍの土塁が築かれている。朝比奈氏の築城とされている。,,,
222143,,静岡県,藤枝市,朝日山城跡,アサヒヤマジョウアト,,,市指定史跡,,,静岡県藤枝市仮宿1　外,,,,,,1,,,稲荷神社,1980-01-16,,,,,,,,,朝日山稲荷社がある山頂の西側が本曲輪とされ、平場と土塁が残っている。本曲輪は長さ約54ｍ、最大幅28ｍで、南側から北側にかけて土塁が残り、北東側には台状の高まりがある。なお、山頂部の東側は稲荷神社の建設により削られているため、二ノ曲輪等の存在は不明である。岡部氏の築城と伝えられる。,,,
222143,,静岡県,藤枝市,花倉城跡,ハナグラジョウアト,,,市指定史跡,,,静岡県藤枝市花倉,,,,,,1,,,個人,1986-03-28,,,,,,,,,花倉城跡は標高300ｍほどの山頂部に本曲輪（ほんくるわ）と二ノ曲輪を造り、この２つの曲輪の間と山頂から四方に延びる尾根に堀切を設けている。今川義元が兄の玄広恵探（げんこうえたん）と家督を争った花蔵の乱の舞台となった城で、これに勝利して義元が家督を継いだ。花倉城のある葉梨地区は建武4年（1337）に今川範国（のりくに）に与えられて以後、戦国時代まで今川氏と縁の深い土地といわれる。,,,
222143,,静岡県,藤枝市,旧東海道の松並木,キュウトウカイドウノマツナミキ,,,市指定史跡,,,静岡県藤枝市岡部町内谷・上青島　,,,,,,1,,,静岡県,1997-10-01,,,,,,,,,旧岡部宿西木戸から横内の間に残る約560mの松並木で、地元では「岡部松原」と呼ばれて親しまれてきた。また上青島地区の一里塚付近の約150mの松並木は土塁上に生育する姿を残している。,,,
222143,,静岡県,藤枝市,蓮生寺のイブキ,レンショウジノイブキ,,,市指定天然記念物,,,静岡県藤枝市本町一丁目3,,,,,,1,,,蓮生寺,1957-03-16,,,,,,,,,イブキは、ヒノキ科の常緑高木で、ビャクシンともいわれ、幹がねじれる性質があり、雌雄異株である。このイブキは雄株で、明治36年（1903）1月に木町から出火した大火のため一部類焼したが、その後樹勢を復活し、今日に及んでいる。（根廻1.65m　目通1.55m　樹高6.8m　枝張：東西7.0m・南北7.0m）,,,
222143,,静岡県,藤枝市,北方のトキワガキ,キタガタノトキワガキ,,,市指定天然記念物,,,静岡県藤枝市北方　,,,,,,1,,,個人,1957-05-28,,,,,,,,,トキワガキは、カキノキ科の常緑高木で、幹は直立し、鐘形で白や淡黄色の花が６月頃につき、径１～２cmの実を結ぶ。雌雄異株で、このトキワガキは雌株である。四国・九州の暖地に自生するが、分布はまれで、本県は分布の北限とされる。,,,
222143,,静岡県,藤枝市,ハゴロモクリハラン,ハゴロモクリハラン,,,市指定天然記念物,,,静岡県藤枝市本郷　,,,,,,1,,,個人,1957-05-28,,,,,,,,,ハゴロモクリハランは、瀬戸ノ谷で発見されたシダ類・ウラボシ科クリハランの一変種である。クリハランはランの仲間と間違いやすいが胞子がついており、形はクリの葉に似ている。ハゴロモクリハランは、葉の下の方が左右に大きく袖を出していることから名が付いた。全国的にも分布のまれなシダ類といわれている。,,,
222143,,静岡県,藤枝市,かや,カヤ,,,市指定天然記念物,,,静岡県藤枝市岡部町子持坂268,,,,,,1,,,常願寺,1972-07-01,,,,,,,,,常願寺の門前にあり、落雷にあって傷んでいるが樹勢は盛んで、秋にはたくさんの実がなる。かつては、実を拾い、白い核の部分を食用にしたり、搾って油にしたりしたという。万年寺のカヤに次いで市内でも有数の巨木の１つである。（根廻5.3m　目通4.5m　樹高20.0m　枝張：東西28.0m・南北25.0m）,,,
222143,,静岡県,藤枝市,すぎ,スギ,,,市指定天然記念物,,,静岡県藤枝市岡部町青羽根1070－3,,,,,,1,,,大井神社,1972-07-01,,,,,,,,,海抜380ｍの山腹に建つ神社本殿の脇にそびえている。元治元年（1864）の棟札写しによると、神社の再建が応仁元年(1467年)になされたという記録がある。（根廻8.0m　目通5.4m　樹高28.0m　枝張：東西25.0m・南北25.0m）,,,
222143,,静岡県,藤枝市,月見里神社のクス,ヤマナシジンジャノクス,,,市指定天然記念物,,,静岡県藤枝市藤枝三丁目333,,,,,,1,,,月見里神社,1986-10-06,,,,,,,,,神社本殿の後ろにあり、二股になった幹が特徴的なクスの大木である。境内には、このほかにも数本のクスの大樹があり、これらが大きな社叢を形づくっている。神社の名は、周囲に山が無く月がよく見えるという意味で「月見里」と書いて「やまなし」と読む。（根廻26.5m　目通9.1m　樹高18.0m　枝張：東西19.5m・南北12.0m）,,,
222143,,静岡県,藤枝市,本願のマツ,ホンガンノマツ,,,市指定天然記念物,,,静岡県藤枝市藤枝二丁目699,,,,,,1,,,正定寺,1986-10-06,,,,,,,,,正定寺は、東海道藤枝宿の西木戸口近くにある。境内にある本願のマツは、別名「延命のマツ」ともいわれている。傘形に枝張りした姿が美しいクロマツである。享保15年（1730）、田中城主土岐丹後守頼稔(ときたんごのかみよりとし)が大坂城代になった時に本願がかなった記念として寄進したとされている。（根廻約3.0m　目通3.0m　樹高6.3m　枝張：東西11.5m・南北14.0m）,,,
222143,,静岡県,藤枝市,手揉製茶技術,テモミセイチャギジュツ,,,市指定無形文化財,その他,,静岡県藤枝市,,,,,,,,,,1973-04-01,,,,,,,,,技術保持者を中心として、保存会によって技術の向上と保存伝承、後継者育成に努めている。また、小学校での講習会やイベントなどで、幅広く普及活動を行っている。,,,
222143,,静岡県,藤枝市,カミコロバシ,カミコロバシ,,,市指定無形民俗文化財,,,静岡県藤枝市岡部町岡部,,,,,,1,,,若宮八幡宮,1973-04-01,,,,,,,,,若宮八幡宮のカミコロバシは七十五膳（しちじゅうごぜん）とともに秋の例祭で3年に1度行われている。「泰平衆（たいへいしゅう）」と呼ばれる36人の男は朝比奈川で禊（みそぎ）を行い、折敷（おしき）にのせた膳を押し合い、へし合いしながら練り運ぶ。次に筵（むしろ）に身を包んだ一人が泰平衆に揉まれて練りあい、北や東の隅で転び、本殿の前でも転ぶ。最後に5～6ｍの青竹に藁で形作った瓶を吊るして練り歩き、転んでは立ち上がりながら、本殿の前までくると泰平頭と呼ばれる人が瓶から酒をくみ出すしぐさを行い、神事は終了する。また、カミコロバシと同時に行われる七十五膳は、穀物や野菜・果物など75の膳を、本殿裏の仮神饌所（しんせんじょ）から本殿内に献納する。これに携わる人々は２列となり、口に榊の葉をくわえ、一礼一拍手して膳を手渡していく。カミコロバシと七十五膳の神事は同時に進行されることから本来はひとつの神事と考えられる。,,,
222143,,静岡県,藤枝市,山宮祭,サングウサイ,,,市指定無形民俗文化財,,,静岡県藤枝市岡部町三輪,,,,,,1,,,神神社,1973-04-01,,,,,,,,,高草山を御神体として祀る神神社では、2月の祈年祭の日、10月19日の例祭、11月の新嘗祭（にいなめさい）の日に、本殿東側にある三ツ鳥居（三輪鳥居）の奥に設けられた祭祀場に、高さ2ｍ近くの大きな5対の幣（へい）を立てて祀る。10月の例祭では、氏子が小さい幣をもって拝殿脇の山に立てる。これは各家の守護神に神の神威を分け与えてもらうためだという。山宮祭は、山を祀るという古代祭祀の形式を今にとどめている。,,,
222143,,静岡県,藤枝市,山の神祭,ヤマノカミマツリ,,,市指定無形民俗文化財,,,静岡県藤枝市岡部町三輪,,,,,,1,,,神神社,1973-04-01,,,,,,,,,高草山の中腹にある神神社の社有地で、毎年２月８日に行われる。山の神の祭祀場は、三輪川の水源の一つである谷の奥まった所で、露出した大きな岩が山の神の場所（磐座（いわくら））である。祭礼日には、磐座に幣と大弓を立て、神饌（しんせん）（供え物）を供える。神職が豊作を祈る祝詞（のりと）を奏上した後、神職・参加者が大弓に大矢をつがえて四方に向かって射る。山の神は放たれた矢に乗って里に降り、田畑の守り神になるとされる。神事が終わった後、参列者は御神酒を竹の盃でいただき、直会（なおらい）（神事後の酒宴）を行う。,,,
222143,,静岡県,藤枝市,滝沢八坂神社の神楽,タキサワヤサカジンジャノカグラ,,,市指定無形民俗文化財;記録作成等の措置を講ずべき無形の民俗文化財,,,静岡県藤枝市滝沢1320,,,,,,1,,,保存会,2002-03-20,,,,,,,,,高根白山神社と同系統の神楽で、演目の内容、舞の構成、天井飾り、笛と太鼓の音曲などには、共通点が多い。伝本（でんぽん）によると、かつては21演目があったが、現在は12演目が奉納されている。祭礼日は10月9日であったが、現在は最も近い土曜日に行われる。滝沢八坂神社の田遊びと同じ伝承者によって保存されている点が注目され、滝沢地区の文化的風土をうかがわせる。,,,
222143,,静岡県,藤枝市,飽波神社大祭の奉納踊り,アクナミジンジャタイサイノホウノウオドリ,,,市指定無形民俗文化財,,,静岡県藤枝市藤枝5丁目15-36,,,,,,1,,,保存会,2019-09-30,,,,,,,,,３年に一度の、飽波神社の大祭で披露される踊り。旧藤枝宿場町を中心にした１４地区が、屋台の曳き回しとともに、日本舞踊をアレンジした振付で、長唄を伴奏にして踊る。「手古舞(てこまい)」や祭り衣裳に江戸風の名残があり、江戸町衆の芸能文化がこの地域に波及して定着し、現在まで伝承された歴史を伝える。,,,
222143,,静岡県,藤枝市,長屋門,ナガヤモン,,,市指定有形文化財,建造物,,静岡県藤枝市岡部町子持坂244,,,,,,1,,,市教委,1972-07-01,,,,,,,,,丘陵裾に建つ鴫谷家の長屋門で、安政5年（1858）に築造された。建物は、木造平屋建（ひらやだて）・寄棟造（よせむねづくり）・茅葺（かやぶき）で、規模は正面９間半（17.1m）・側面２間半（4.5m）、平成13年度に修復された。中央に出入口部を設け、向かって左側は６畳と８畳の和室（床（とこ）・押入（おしいれ）付き）、右側は土間造（どまづくり）である。居住・収納・作業場と多様な機能を兼ね備えた、実用的な建物である。鴫谷家は、医術を家業とした家系と伝えられている。,,,
222143,,静岡県,藤枝市,十石坂観音堂,ジッコクザカカンノンドウ,,,市指定有形文化財,建造物,,静岡県藤枝市岡部町岡部1176-1,,,,,,1,,,川原町町内会,1973-04-01,,,,,,,,,入母屋造（いりもやづくり）・瓦葺（かわらぶき）で、約4.8m四方の建造物である。正面に設けられた向拝（ごはい）は、上部の木鼻（きばな）に獅子や象の彫刻があるが、組物（くみもの）など細部の様式は簡素である。内陣と外陣を仕切る板戸３枚のうち、中央の戸は上半に菱格子（ひしごうし）が入る。外陣の天井は格天井（ごうてんじょう）で、彩色豊かな花鳥画などが描かれている。江戸時代後期の文化５年（1808）以前に建築され、もとは西行山最林寺（駿府の宝台院（ほうだいいん）末寺）境内の一堂であった。,,,
