全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000027,静岡県磐田市,旧津倉家住宅応接棟,キュウツクラケジュウタクオウセツトウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000028,静岡県磐田市,旧津倉家住宅土蔵,キュウツクラケジュウタクドゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000029,静岡県磐田市,府八幡宮楼門,フハチマングウロウモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000030,静岡県磐田市,旧赤松家門・塀,キュウアカマツケモン・ヘイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000031,静岡県磐田市,木造地蔵菩薩坐像,モクゾウジゾウボサツザゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000032,静岡県磐田市,木造毘沙門天立像,モクゾウビシャモンテンリツゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000033,静岡県磐田市,三角縁四神四獣鏡,サンカクブチシシンシジュウキョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000034,静岡県磐田市,堂山古墳出土遺物,ドウヤマコフンシュツドイブツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000035,静岡県磐田市,太刀　銘成高,タチメイナリタカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000036,静岡県磐田市,淡海国玉神社本殿　附棟札５枚,オウミクニタマジンジャホンデンツケタリムナフダ５マイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000037,静岡県磐田市,鰐口,ワニグチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000038,静岡県磐田市,絹本著色釈迦十六善神画像,ケンポンチャクショクシャカジュウロクゼンシンガゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000039,静岡県磐田市,米塚古墳群,ヨネヅカコフングン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000040,静岡県磐田市,長者屋敷遺跡,チョウジャヤシキイセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000041,静岡県磐田市,土器塚古墳,カワラケヅカコフン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000042,静岡県磐田市,善導寺の大クス,ゼンドウジノオオクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000043,静岡県磐田市,甲塚のクロガネモチ,カブトヅカノクロガネモチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000044,静岡県磐田市,熊野の長フジ,ユヤノナガフジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
