全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,住所
382019,0000000074,愛媛県松山市,日吉神社本殿,ヒヨシジンジャホンデン,,,市指定有形文化財,建造物,,382019,312000,愛媛県松山市南梅本町字上方,愛媛県,松山市,南梅本町字上方,,,33.8024178,132.8468428,,,,,,,,,1,棟,,,1999/2/16,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/hiyoshijinnja_honden.html,,愛媛県松山市南梅本町字上方
382019,0000000075,愛媛県松山市,松山神社社殿,マツヤマジンジャシャデン,,,県指定有形文化財,建造物,,382019,35000,愛媛県松山市祝谷東町,愛媛県,松山市,祝谷東町,,,33.85672079,132.7833463,,,,,,,,,5,棟,,,2021/2/24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/matuyamajinja_shaden.html,,愛媛県松山市祝谷東町
382019,0000000076,愛媛県松山市,金毘羅宮御神像･本殿･拝殿,コンピラグウゴシンゾウ　ホンデン　ハイデン,,,市指定有形文化財,建造物,,382019,143000,愛媛県松山市庄,愛媛県,松山市,庄,,,33.97731923,132.8068284,,,,,,,,,2・１,棟・躯,,,1975/12/11,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/shou_konpiraguu.html,,愛媛県松山市庄
382019,0000000077,愛媛県松山市,郡境石,グンザカイイシ,,,市指定有形文化財,建造物,,382019,276,愛媛県松山市浅海本谷,愛媛県,松山市,浅海本谷,,,34.00716111,132.8107802,,,,,,,,,1,基,,,2003/8/28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/asanami_sakaiishi.html,,愛媛県松山市浅海本谷
382019,0000000078,愛媛県松山市,六地蔵の板碑,ロクジゾウノイタビ,,,市指定有形文化財,建造物,,382019,22000,愛媛県松山市磯河内,愛媛県,松山市,磯河内,,,33.93031422,132.768537,,,,,,,,,1,基,,,1963/8/23,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/rokuzouchino_itabi.html,,愛媛県松山市磯河内
382019,0000000079,愛媛県松山市,層塔・五輪塔,ソウトウ　ゴリントウ,,,市指定有形文化財,建造物,,382019,160000,愛媛県松山市苞木,愛媛県,松山市,苞木,,,33.93979825,132.7782383,,,,,,,,,4,基,,,1976/9/8,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/suboki_gorintou.html,,愛媛県松山市苞木
382019,0000000080,愛媛県松山市,石造阿弥陀如來坐像,セキゾウアミダニョライザゾウ,,,市指定有形文化財,建造物,,382019,162000,愛媛県松山市善応寺,愛媛県,松山市,善応寺,,,33.95132097,132.8011728,,,,,,,,,1,躯,,,1978/5/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/zenouji_amidazazou.html,,愛媛県松山市善応寺
382019,0000000081,愛媛県松山市,貞治年間の五輪塔残欠と板碑,ジョウジネンカンノゴリントウザンケツトイタビ,,,市指定有形文化財,建造物,,382019,217000,愛媛県松山市長師,愛媛県,松山市,長師,,,33.95901817,132.6254497,,,,,,,,,2,基,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/sinpukuji_zanketu.html,,愛媛県松山市長師
382019,0000000082,愛媛県松山市,長師河上家の石塔,ナガシカワカミケノセキトウ,,,市指定有形文化財,建造物,,382019,217000,愛媛県松山市長師,愛媛県,松山市,長師,,,33.96258113,132.6237437,,,,,,,,,1,基,,,1997/12/15,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/nagasi_sekitou.html,,愛媛県松山市長師
382019,0000000083,愛媛県松山市,長隆寺五輪塔群,チョウリュウジゴリントウグン,,,市指定有形文化財,建造物,,382019,219000,愛媛県松山市中島大浦,愛媛県,松山市,中島大浦,,,33.97442145,132.6183003,,,,,,,,,,,,,1991/4/1,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/chouryuuji_gorintou.html,,愛媛県松山市中島大浦
