全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
041009,000000000576,,諏訪神社本殿,スワジンジャホンデン,,Honden (main building) of Suwajinja shrine,県指定有形文化財,建造物,,041017,,宮城県仙台市青葉区上愛子字宮下40,宮城県,仙台市,青葉区上愛子字宮下,40,,,,,,,,,,,,,,,諏訪神社,1963-07-02,,,,,,,,,,,,
041009,000000000577,,東照宮手水舎,トウショウグウチョウズヤ,,Chozuya (building for washing hands and mouth) at Toshogu shrine,県指定有形文化財,建造物,,041017,,宮城県仙台市青葉区東照宮1丁目6-1,宮城県,仙台市,青葉区東照宮1丁目,6-1,,,,,,,,,,,,,,,東照宮,1964-09-04,,,,,,,,,,,,
041009,000000000578,,賀茂神社本殿,カモジンジャホンデン,,Honden (main building) of Kamojinja shrine,県指定有形文化財,建造物,,041050,,宮城県仙台市泉区古内字糺1,宮城県,仙台市,泉区古内字糺,1,,,,,,,,,,,,,,,賀茂神社,1964-09-04,,,,,,,,,,,,
041009,000000000580,,落合観音堂,オチアイカンノンドウ,,Ochiai Kannondo hall,県指定有形文化財,建造物,,041041,,宮城県仙台市太白区四郎丸字落合60,宮城県,仙台市,太白区四郎丸字落合,60,,,,,,,,,,,,,,,光西寺（落合観音堂奉賛会）,1969-08-29,,,,,,,,,,,,
041009,000000000581,,大崎八幡宮石鳥居,オオサキハチマングウイシトリイ,,Torii (shrine gate) of Osaki Hachimangu shrine,県指定有形文化財,建造物,,041017,,宮城県仙台市青葉区八幡4丁目6-1,宮城県,仙台市,青葉区八幡4丁目,6-1,,,,,,,,,,,,,,,大崎八幡宮,1970-10-30,,,,,,,,,,,,
041009,000000000582,,亀岡八幡宮石鳥居,カメオカハチマングウイシトリイ,,Torii (shrine gate) of Kameoka Hachimangu Shrine,県指定有形文化財,建造物,,041017,,宮城県仙台市青葉区川内亀岡町62,宮城県,仙台市,青葉区川内亀岡町,62,,,,,,,,,,,,,,,亀岡八幡宮,1970-10-30,,,,,,,,,,,,
041009,000000000583,,宮城県知事公館正門(旧仙台城門),ミヤギケンチジコウカンセイモン(キュウセンダイジョウモン),,Main gate of Miyagi Governor's office (former gate of Sendai castle) ,県指定有形文化財,建造物,,041017,,宮城県仙台市青葉区広瀬町5-43,宮城県,仙台市,青葉区広瀬町,5-43,,,,,,,,,,,,,,,宮城県,1971-11-09,,,,,,,,,,,,
041009,000000000584,,陸奥国分寺薬師堂仁王門,ムツコクブンジヤクシドウニオウモン,,Niomon gate of Yakushido hall at Mutsu Kokubunji temple,県指定有形文化財,建造物,,041033,,宮城県仙台市若林区木ノ下3丁目8-1,宮城県,仙台市,若林区木ノ下3丁目,8-1,,,,,,,,,,,,,,,陸奥国分寺,1975-04-30,,,,,,,,,,,,
041009,000000000586,,松島五大堂図,マツシマゴダイドウズ,,Godaido in Matsushima,県指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内元支倉34-1,宮城県,仙台市,青葉区川内元支倉,34-1,,,,,,,,,,,,,,,宮城県（美術館）,1973-01-16,,,,,,,,,,,,
041009,000000000587,,松島図,マツシマズ,,Matsushima,県指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内元支倉34-1,宮城県,仙台市,青葉区川内元支倉,34-1,,,,,,,,,,,,,,,宮城県（美術館）,1973-01-16,,,,,,,,,,,,
041009,000000000588,,宮城県庁門前図,ミヤギケンチョウモンゼンズ,,View in front of Miyagi prefecture office,県指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内元支倉34-1,宮城県,仙台市,青葉区川内元支倉,34-1,,,,,,,,,,,,,,,宮城県（美術館）,1973-01-16,,,,,,,,,,,,
041009,000000000589,,清海曼荼羅図,セイガイマンダラズ,,Seigai Mandala,県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区新寺3丁目10-12,宮城県,仙台市,若林区新寺3丁目,10-12,,,,,,,,,,,,,,,成覚寺,1974-04-30,,,,,,,,,,,,
041009,000000000590,,仙台城本丸大広間障壁画扇面図,センダイジョウホンマルオオヒロマショウヘキガセンメンズ,,Partition paintings of fans at Ohiroma (reception hall) in Honmaru goten palace of Sendai castle,県指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1993-12-24,,,,,,,,,,,,
041009,000000000592,,木造十二神将立像,モクゾウジュウニシンショウリュウゾウ,,Wooden standing Junishinsho (twelve heavenly generals),県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区木ノ下2丁目8-28,宮城県,仙台市,若林区木ノ下2丁目,8-28,,,,,,,,,,,,,,,陸奥国分寺,1959-08-31,,,,,,,,,,,,
041009,000000000605,,木造聖観音像,モクゾウショウカンノンゾウ,,Wooden standing Shokannonbosatsu,県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区新寺3丁目10-12,宮城県,仙台市,若林区新寺3丁目,10-12,,,,,,,,,,,,,,,成覚寺,1974-04-30,,,,,,,,,,,,
041009,000000000606,,木造不動明王立像,モクゾウフドウミョウオウリュウゾウ,,Wooden standing Fudomyoo,県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区木ノ下2丁目8-28,宮城県,仙台市,若林区木ノ下2丁目,8-28,,,,,,,,,,,,,,,陸奥国分寺,1975-04-30,,,,,,,,,,,,
041009,000000000607,,木造毘沙門天立像,モクゾウビシャモンテンリュウゾウ,,Wooden standing Bishamonten,県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区木ノ下2丁目8-28,宮城県,仙台市,若林区木ノ下2丁目,8-28,,,,,,,,,,,,,,,陸奥国分寺,1975-04-30,,,,,,,,,,,,
041009,000000000609,,木造阿弥陀如来立像,モクゾウアミダニョライリュウゾウ,,Wooden standing Amidanyorai,県指定有形文化財,美術工芸品,,041033,,宮城県仙台市若林区新寺3丁目5-3,宮城県,仙台市,若林区新寺3丁目,5-3,,,,,,,,,,,,,,,阿弥陀寺,1980-05-30,,,,,,,,,,,,
041009,000000000616,,銅鐘,ドウショウ,,Bronze bell,県指定有形文化財,美術工芸品,,041050,,宮城県仙台市泉区山の寺2丁目3-1,宮城県,仙台市,泉区山の寺2丁目,3-1,,,,,,,,,,,,,,,洞雲寺,1962-06-28,,,,,,,,,,,,
041009,000000000617,,銅鐘,ドウショウ,,Bronze bell,県指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区霊屋下23-5,宮城県,仙台市,青葉区霊屋下,23-5,,,,,,,,,,,,,,,瑞鳳寺,1962-06-28,,,,,,,,,,,,
041009,000000000618,,愛子の田植踊,アヤシノタウエオドリ,,Taueodori dance in Ayashi district,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区下愛子,宮城県,仙台市,青葉区下愛子,,,,,,,,,,,,,,,,愛子の田植踊保存会,1960-04-23,,,,,,,,,,,,
041009,000000000619,,大倉の役人田植踊,オオクラノヤクニンタウエオドリ,,Taueodori dance in Okura district,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区大倉,宮城県,仙台市,青葉区大倉,,,,,,,,,,,,,,,,大倉役人田植踊保存会,1960-04-23,,,,,,,,,,,,
041009,000000000620,,新川の田植踊,ニッカワノタウエオドリ,,Taueodori dance in Nikkawa district,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区新川,宮城県,仙台市,青葉区新川,,,,,,,,,,,,,,,,新川の田植踊保存会,1960-04-23,,,,,,,,,,,,
041009,000000000621,,芋沢の田植踊,イモザワノタウエオドリ,,Taueodori dance in Imozawa district,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区芋沢,宮城県,仙台市,青葉区芋沢,,,,,,,,,,,,,,,,芋沢の田植踊保存会,1960-04-23,,,,,,,,,,,,
041009,000000000622,,下倉の田植踊,シモクラノタウエオドリ,,Taueodori dance in Shimokura district,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区大倉,宮城県,仙台市,青葉区大倉,,,,,,,,,,,,,,,,下倉の田植踊保存会,1971-08-03,,,,,,,,,,,,
041009,000000000623,,大崎八幡宮の能神楽,オオサキハチマングウノノウカグラ,,NoKagura (sacred dance) of Osaki hachimangu shrine,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区八幡,宮城県,仙台市,青葉区八幡,,,,,,,,,,,,,,,,大崎八幡宮能神楽保存会,1972-10-11,,,,,,,,,,,,
