全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
043231,043231-002-00001,宮城県柴田町,雨乞のイチョウ,アマゴノイチョウ,,,天然記念物,,,043231,,宮城県柴田郡柴田町大字入間田字雨乞30,宮城県,柴田町,大字入間田字雨乞,30,,38.11567,140.796137,,,,,,,,,,,,個人,1968-11-08,月火水木金土日,,,,,,,,樹齢約700年,,,
043231,043231-002-00002,宮城県柴田町,不動堂のフジ,フドウドウノフジ,,,天然記念物,,,043231,,宮城県柴田郡柴田町大字本船迫字寺後,宮城県,柴田町,大字本船迫字寺後,,,38.07195,140.760341,,,,,,,,,,,,大光院,1955-03-25,月火水木金土日,,,,,,,,樹齢約500年,,,
043231,043231-002-00003,宮城県柴田町,鉄造阿弥陀如来坐像,テツゾウアミダニョライザゾウ,,,県指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町西船迫1丁目12‐12,宮城県,柴田町,西船迫,1-12-12,,38.068374,140.765253,,,,,,,,,,,,大光院,1969-04-18,,,,,,,,,1266年,,,
043231,043231-002-00004,宮城県柴田町,木造薬師如来立像,モクゾウヤクシニョライリツゾウ,,,県指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町大字入間田字寺35,宮城県,柴田町,大字入間田字寺,35,,38.110977,140.78507,,,,,,,,,,,,円龍寺,1956-03-09,,,,,,,,,1415年,,,
043231,043231-002-00005,宮城県柴田町,木造十二神将,モクゾウジュウニシンショウ,,,県指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町大字入間田字寺35,宮城県,柴田町,大字入間田字寺,35,,38.110977,140.78507,,,,,,,,,,,,円龍寺,1956-03-09,,,,,,,,,1415年,,,
043231,043231-002-00006,宮城県柴田町,絹本着色両界曼荼羅図,ケンポンチャクショクリョウカイマンダラズ,,,県指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町西船迫1丁目12‐12,宮城県,柴田町,西船迫,1-12-12,,38.068374,140.765253,,,,,,,,,,,,大光院,1969-04-18,,,,,,,,,1385年,,,
043231,043231-002-00007,宮城県柴田町,富沢磨崖仏群,トミザワマガイブツグン,,,史跡,,,043231,,宮城県柴田郡柴田町大字富沢字岩崎山,宮城県,柴田町,大字富沢字岩崎山,,,38.105827,140.810097,,,,,,,,,,,,常光寺,1971-03-02,,,,,,,,,1306年,,,
043231,043231-002-00008,宮城県柴田町,四保館跡,シホタテアト,,,史跡,,,043231,,宮城県柴田郡柴田町大字船岡字館山,宮城県,柴田町,大字船岡字館山,,,38.053785,140.754952,,,,,,,,,,,4000020043231,柴田町,1971-10-06,月火水木金土日,,,,,,,,中世・江戸時代,,,
043231,043231-002-00009,宮城県柴田町,五百羅漢,ゴヒャクラカン,,,史跡,,,043231,,宮城県柴田郡柴田町船岡南1丁目1-7,宮城県,柴田町,船岡南,1-1-7,,38.053709,140.766821,,,,,,,,,,,,大光院,1971-10-10,,,,,,,,,江戸時代,,,
043231,043231-002-00010,宮城県柴田町,上川名貝塚,カミカワナカイズカ,,,史跡,,,043231,,宮城県柴田郡柴田町大字上川名,宮城県,柴田町,大字上川名,,,38.096948,140.810776,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00011,宮城県柴田町,松崎貝塚,マツザキカイヅカ,,,史跡,,,043231,,宮城県柴田郡柴田町槻木西1丁目,宮城県,柴田町,槻木西,1,,38.07562,140.80284,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00012,宮城県柴田町,金谷貝塚,カナヤカイヅカ,,,史跡,,,043231,,宮城県柴田郡柴田町大字入間田字金谷,宮城県,柴田町,大字入間田字金谷,,,38.096882,140.80431,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00013,宮城県柴田町,館前貝塚,タテマエカイヅカ,,,史跡,,,043231,,宮城県柴田郡柴田町大字槻木字館前,宮城県,柴田町,大字槻木字館前,,,38.085604,140.80291,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00014,宮城県柴田町,中居貝塚,ナカイカイヅカ,,,史跡,,,043231,,宮城県柴田郡柴田町大字入間田字中居,宮城県,柴田町,大字入間田字中居,,,38.095298,140.801855,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00015,宮城県柴田町,深町貝塚,フカマチカイヅカ,,,史跡,,,043231,,宮城県柴田郡柴田町大字入間田字深町,宮城県,柴田町,大字入間田字深町,,,38.09513,140.795429,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00016,宮城県柴田町,葉坂遺跡,ハザカイセキ,,,史跡,,,043231,,宮城県柴田郡柴田町大字葉坂,宮城県,柴田町,大字葉坂,,,38.11014,140.764504,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00017,宮城県柴田町,向畑遺跡,ムカイハタイセキ,,,史跡,,,043231,,宮城県柴田郡柴田町大字小成田字向畑,宮城県,柴田町,大字小成田字向畑,,,38.083092,140.768996,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00018,宮城県柴田町,台遺跡,ダイイセキ,,,史跡,,,043231,,宮城県柴田郡柴田町大字船迫字台,宮城県,柴田町,大字船迫字台,,,38.079451,140.793591,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,縄文時代,,,
043231,043231-002-00019,宮城県柴田町,倉元向遺跡,クラモトムカイイセキ,,,史跡,,,043231,,宮城県柴田郡柴田町大字成田字倉元向,宮城県,柴田町,大字成田字倉元向,,,38.086425,140.765027,,,,,,,,,,,,個人,1969-10-10,,,,,,,,,縄文時代,,,
043231,043231-002-00020,宮城県柴田町,炭釜横穴墓群,スミガマヨコアナボグン,,,史跡,,,043231,,宮城県柴田郡柴田町大字四日市場字炭釜,宮城県,柴田町,大字四日市場字炭釜,,,38.09182,140.822018,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,古墳時代,,,
043231,043231-002-00021,宮城県柴田町,十八津入横穴墓群,クグツイリヨコアナボグン,,,史跡,,,043231,,宮城県柴田郡柴田町大字船迫字十八津入,宮城県,柴田町,大字船迫字十八津入,,,38.07295,140.779427,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,古墳時代,,,
043231,043231-002-00022,宮城県柴田町,森合横穴墓群,モリアイヨコアナボグン,,,史跡,,,043231,,宮城県柴田郡柴田町西船迫1丁目,宮城県,柴田町,西船迫,1,,38.069941,140.766099,,,,,,,,,,,4000020043231,柴田町,1971-10-10,,,,,,,,,古墳時代,,,
043231,043231-002-00023,宮城県柴田町,剣塚古墳,ケンヅカコフン,,,史跡,,,043231,,宮城県柴田郡柴田町大字下名生字剣塚,宮城県,柴田町,大字下名生字剣塚,,,38.065687,140.806607,,,,,,,,,,,,下名生契約会,1971-10-06,,,,,,,,,古墳時代,,,
043231,043231-002-00024,宮城県柴田町,上野山古墳群,ウワノヤマコフングン,,,史跡,,,043231,,宮城県柴田郡柴田町大字本船迫字上野山,宮城県,柴田町,大字本船迫字上野山,,,38.069345,140.750044,,,,,,,,,,,,個人,1974-07-30,,,,,,,,,古墳時代,,,
043231,043231-002-00025,宮城県柴田町,富沢の一本カヤ,トミザワノイッポンカヤ,,,天然記念物,,,043231,,宮城県柴田郡柴田町大字富沢字小和清水,宮城県,柴田町,大字富沢字小和清水,,,38.120528,140.803862,,,,,,,,,,,,個人,1973-04-03,,,,,,,,,樹齢約400年,,,
043231,043231-002-00026,宮城県柴田町,中名生のカヤ,ナカノミョウノカヤ,,,天然記念物,,,043231,,宮城県柴田郡柴田町大字中名生字登夫,宮城県,柴田町,大字中名生字登夫,,,38.045223,140.795319,,,,,,,,,,,,個人,1973-04-03,,,,,,,,,樹齢約400年,,,
043231,043231-002-00027,宮城県柴田町,大光寺のイチョウ,ダイコウジノイチョウ,,,天然記念物,,,043231,,宮城県柴田郡柴田町船岡南1丁目1-7,宮城県,柴田町,船岡南,1-1-7,,38.053906,140.766762,,,,,,,,,,,,大光寺,1973-04-03,,,,,,,,,樹齢約200年,,,
043231,043231-002-00028,宮城県柴田町,麹屋の夫婦ケヤキ,コウジヤノメオトケヤキ,,,天然記念物,,,043231,,宮城県柴田郡柴田町船岡西1丁目3-2,宮城県,柴田町,船岡西,1-3-2,,38.055636,140.764924,,,,,,,,,,,,個人,1974-07-30,,,,,,,,,樹齢約400年,,,
043231,043231-002-00029,宮城県柴田町,也廖の書,ヤリョウノショ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡中央2丁目6-10,宮城県,柴田町,船岡中央,2-6-10,,38.056706,140.769041,,,,,,,,,,,,個人,1969-10-06,,,,,,,,,江戸時代後期,,,
043231,043231-002-00030,宮城県柴田町,柴田郡船岡村検地帳,シバタグンフナオカムラケンチチョウ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.055695,140.762215,,,,,,,,,,,,しばたの郷土館,1973-04-03,,,,,,,,,江戸時代,,,
043231,043231-002-00031,宮城県柴田町,御知行高名附帳,ゴチギョウダカナヅケチョウ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.055695,140.762215,,,,,,,,,,,,しばたの郷土館,1973-04-03,,,,,,,,,江戸時代,,,
043231,043231-002-00032,宮城県柴田町,御知行当物成究小割帳,ゴチギョウアテモノナリキメコワリチョウ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡中央2丁目3-30,宮城県,柴田町,船岡中央,2-3-30,,38.056225,140.765495,,,,,,,,,,,,個人,1973-04-03,,,,,,,,,江戸時代,,,
043231,043231-002-00033,宮城県柴田町,御知行当物成小割帳,ゴチギョウアテモノナリコワリチョウ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡中央2丁目3-30,宮城県,柴田町,船岡中央,2-3-30,,38.056225,140.765495,,,,,,,,,,,,個人,1973-04-03,,,,,,,,,江戸時代,,,
043231,043231-002-00034,宮城県柴田町,須恵器の大かめ,スエキノオオカメ,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.068374,140.765253,,,,,,,,,,,,しばたの郷土館,1974-07-30,,,,,,,,,古墳～奈良時代,,,
043231,043231-002-00035,宮城県柴田町,中江前出土「櫂」,ナカエマエシュツド「カイ」,,,町指定有形文化財,,,043231,,宮城県柴田郡柴田町西船迫1丁目6-26,宮城県,柴田町,西船迫,1-6-26,,38.064796,140.766735,,,,,,,,,,,,しばたの郷土館,1971-10-10,,,,,,,,,縄文時代,,,
043231,043231-002-00036,宮城県柴田町,深山神社付属立花小川流神楽,カヤマジンジャフゾクタチバナオガワリュウカグラ,,,町指定無形文化財,,,043231,,宮城県柴田郡柴田町大字富沢字深山,宮城県,柴田町,大字富沢字深山,,,38.113092,140.813739,,,,,,,,,,,,深山神社,1973-04-03,,,,,,,,,,,,
043231,043231-002-00037,宮城県柴田町,八雲神社付属榊流神楽,ヤグモジンジャフゾクサカキリュウカグラ,,,町指定無形文化財,,,043231,,宮城県柴田郡柴田町大字入間田字古内,宮城県,柴田町,大字入間田字古内,,,38.113119,140.787568,,,,,,,,,,,,八雲神社,1973-04-03,,,,,,,,,,,,
043231,043231-002-00038,宮城県柴田町,鉄錆地五枚胴具足　六十二間筋兜・小具足付　附　関係文書9通,テツサビジゴマイドウグソク　ロクジュウニケンスジカブト・コグソクツキ　ツケタリ　カンケイモンジョキュウツウ,,,町指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.055695,140.762215,,,,,,,,,,,,しばたの郷土館,1973-04-03,,,,,,,,,室町時代から江戸時代初期,,,
043231,043231-002-00039,宮城県柴田町,柴田意利所用堤重,シバタモトトシショヨウサゲジュウ,,,町指定有形文化財,美術工芸品,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.055695,140.762215,,,,,,,,,,,,しばたの郷土館,1973-04-03,,,,,,,,,江戸時代後期,,,
043231,043231-002-00040,宮城県柴田町,小室達関係資料,コムロトオルカンケイシリョウ,,,町指定有形文化財,歴史資料,,043231,,宮城県柴田郡柴田町船岡西1丁目6-26,宮城県,柴田町,船岡西,1-6-26,,38.055695,140.762215,,,,,,,,,,,,しばたの郷土館,1973-04-03,,,,,,,,,近代,,,
