都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
043222,0000000001,宮城県,村田町,村田町村田伝統的建造物群保存地区,ムラタマチムラタジュウヨウデントウテキケンゾウブツグンホゾンチク,,,重要伝統的建造物群保存地区,建造物,,宮城県柴田郡村田町大字村田,,,,,,,,,村田町ほか,2014-09-18,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000002,宮城県,村田町,旧大沼家住宅,キュウオオヌマケジュウタク,,,重要文化財,建造物,,宮城県柴田郡村田町大字村田,,,,,,,,,村田町,2018-08-17,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000003,宮城県,村田町,愛宕山古墳・附薬師堂古墳,アタゴヤマコフン・ツケタリヤクシドウコフン,,,県指定史跡,,,宮城県柴田郡村田町大字関場,,,,,,,,,村田町,1974-04-30,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000004,宮城県,村田町,小泉愛宕堂,コイズミアタゴドウ,,,町指定有形文化財,建造物,,宮城県柴田郡村田町大字小泉字愛宕山,,,,,,,,,個人,1976-02-09,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000005,宮城県,村田町,薄木愛宕堂,ウスギアタゴドウ,,,町指定有形文化財,建造物,,宮城県柴田郡村田町大字薄木字武久市,,,,,,,,,区有地,1976-02-09,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000006,宮城県,村田町,旧八巻家住宅,キュウヤマキケジュウタク,,,町指定有形文化財,建造物,,宮城県柴田郡村田町大字小泉字肬石,,,,,,,,,村田町,1994-12-20,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000007,宮城県,村田町,源義家自筆太刀寄進状,ミナモトノヨシイエジヒツタチキシンジョウ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字七小路,,,,,,,,,白鳥神社,1969-12-22,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000008,宮城県,村田町,従二位近衛忠広書状,ジュニイコノエタダヒロショジョウ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字七小路,,,,,,,,,白鳥神社,1969-12-22,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000009,宮城県,村田町,定龍寺縁起説全２巻,ジョウリュウジエンギセツゼンニカン,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字七小路,,,,,,,,,白鳥神社,1969-12-22,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000010,宮城県,村田町,毘沙門天像,ビシャモンテンゾウ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字大槻下,,,,,,,,,龍島院,1970-12-16,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000011,宮城県,村田町,茶釜,チャガマ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字大槻下,,,,,,,,,龍島院,1970-12-16,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000012,宮城県,村田町,伊達宗高書状,ダテムネタカショジョウ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字大槻下,,,,,,,,,龍島院,1970-12-16,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000013,宮城県,村田町,司馬江漢「弄笛図」,シバコウカン「ロウテキズ」,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字迫,,,,,,,,,村田町,1998-02-27,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000014,宮城県,村田町,新峯崎遺跡出土祭祀遺物,シンミネザキイセキシュツドサイシイブツ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字村田字迫,,,,,,,,,村田町,1998-02-27,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
043222,0000000015,宮城県,村田町,源蔵沢の板碑,ゲンゾウザワノイタビ,,,町指定有形文化財,美術工芸品,,宮城県柴田郡村田町大字菅生字源蔵沢,,,,,,,,,個人,2016-03-25,,,,,,,,,,,http://www.town.murata.miyagi.jp/,
