全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
044245,,宮城県大衡村,大衡城址,オオヒラジョウアト,,,村指定史跡名勝,史跡,,044245,,宮城県黒川郡大衡村大衡字塩浪4-1他,宮城県,黒川郡大衡村,大衡字塩浪,4-1他,,,,,,,,,,,,,,,大衡村,2003/12/1,,,,,,,,,,,,,,,,,,,,https://www.village.ohira.miyagi.jp/soshiki/16/1326.html,,,
044245,,宮城県大衡村,大瓜神楽,オオウリカグラ,,,村指定無形民俗文化財,芸能,,044245,,宮城県黒川郡大衡村大瓜,宮城県,黒川郡大衡村,大瓜,,,,,,,,,,,,,,,,大瓜神楽保存会,2003/12/1,,,,,,,,,,,,,,,,,,,,https://www.village.ohira.miyagi.jp/soshiki/16/1326.html,,,
044245,,宮城県大衡村,須岐神社,スキジンジャ,,,村指定有形文化財,建造物,,044245,,宮城県黒川郡大衡村駒場字下宮前2,宮城県,黒川郡大衡村,駒場字下宮前,2,,,,,,,,,,,,,,,宗教法人須岐神社,1997/4/28,,,,,,,,,,,,,,,,,,,,https://www.village.ohira.miyagi.jp/soshiki/16/1326.html,,,
