全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
042064,BB0420640001,宮城県白石市,球状閃緑岩,キュウジョウセンリョクガン,,,天然記念物,,,,,宮城県白石市白川犬卒都婆字草倉内56-1ほか,宮城県,白石市,犬卒都婆,56-1ほか,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,個人,1923-3-7,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/289.jpg,,花崗閃緑岩を母岩に角閃石、斜長石などが円状に結晶した美しい岩石です。,,球状閃緑岩とは、花崗閃緑岩を母岩に角閃石、斜長石などが円状に結晶した美しい岩石です。その様相が、菊花の紋を並べたように見えるので、「菊面石」と呼ばれています。海外では、ナポレオンの生地、フランスのコルシカ島で産出するので「ナポレオン石」とも呼ばれています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/374.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/289.jpg,,
042064,BB0420640002,宮城県白石市,小原の材木岩,オバラノザイモクイワ,,,天然記念物,,,,,宮城県白石市小原字清水34-1他,宮城県,白石市,小原字清水,34-1ほか,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,国土交通省等,1934-05-01,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/304.jpg,,巨大な材木を垂直に並べ立てたような自然の造形美が広がっています。,,白石川の上流、七ヶ宿ダムのすぐ東にあります。高さは64メートル。巨大な材木を垂直に並べ立てたような自然の造形美が広がっています。昭和9年に国の天然記念物に指定されました。春は桜並木、夏は新緑、秋は紅葉と四季折々の絶景が楽しめる場所です。,,,,無,無,無,無,可,無,可,http://www.city.shiroishi.miyagi.jp/soshiki/30/388.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/304.jpg,,
042064,BB0420640003,宮城県白石市,小原のヒダリマキガヤ,オバラノヒダリマキガヤ,,,天然記念物,,,,,宮城県白石市小原字湯沢神前44-2,宮城県,白石市,小原字湯沢,44-2,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,個人,1942-10-14,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/284.jpg,,種子が大きく5～6条の縦線が基部より頂きに向かって左旋し、内種皮にも縦走隆起し溝がある。,,大正13年頃、地元の小学校長をしていた斎藤四郎治先生によって新種として発見されました。普通のカヤと異なる点は、種子が大きく5～6条の縦線が基部より頂きに向かって左旋し、内種皮にも縦走隆起し溝があるところです。一時樹勢が衰え心配されましたが、治療の結果今では回復に向かっています。昭和17年に国の天然記念物に指定されました。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/369.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/284.jpg,,
042064,BB0420640004,宮城県白石市,小原のコツウガヤ,オバラノコツブガヤ,,,天然記念物,,,,,宮城県白石市小原字御仮屋15-1、13-3,宮城県,白石市,小原字御仮屋,13-3、15-1,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,個人,1943-2-19,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/291.jpg,,種子の大きさが普通のカヤの実の2分の1、葉は先端鈍頭、あるいは微凸形で、枝条はすこぶる密生している。,,三重県国津村長瀬（昭和3年当時）に続き、我が国2例目として小原地区で発見されました。特徴は、種子の大きさが普通のカヤの実の2分の1、葉は先端鈍頭、あるいは微凸形で、枝条はすこぶる密生しているところです。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/376.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/291.jpg,,
042064,BB0420640005,宮城県白石市,ヨコグラノキ北限地帯,ヨコグラノキホクゲンチタイ,,,天然記念物,,,,,宮城県白石市小原字上台42-1、42-2、42-3,宮城県,白石市,小原字上台,42-1、42-2、42-3,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,白石市等,1942-10-14,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/303.jpg,,東北南部以南から四国、九州に稀産する小高木で、小原が東北地方で唯一の自生地とされています。,,東北南部以南から四国、九州に稀産する小高木で、小原が東北地方で唯一の自生地とされています。小原材木岩対岸の虎岩の絶壁で発見されました。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/387.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/303.jpg,,
042064,BB0420640006,宮城県白石市,鷹巣古墳群,タカノスコフングン,,,県指定史跡,,,,,宮城県白石市鷹巣字本木山4-1ほか,宮城県,白石市,鷹巣字本木山,4-1ほか,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,9,基,,白石市等,1971-11-9,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/299.jpg,,白石盆地のほぼ中央、東から突出する鷹巣丘陵の峰道に沿って点在する古墳群で、5世紀後半から7世紀頃までに造営されたと考えられています。,,白石盆地のほぼ中央、東から突出する鷹巣丘陵の峰道に沿って点在する古墳群で、5世紀後半から7世紀頃までに造営されたと考えられています。本古墳群中最大のものは瓶ヶ盛古墳で、二段築成、全長56メートルの埴輪をめぐらす帆立貝式の前方後円墳です。,,,,無,無,無,無,可,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/383.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/299.jpg,,
042064,BB0420640007,宮城県白石市,旧小関家住宅表門・路地塀（片倉家中武家屋敷）,キュウコセキケジュウタクツキオモテモン・ロジベイ,,,県指定有形文化財,建造物,,,,宮城県白石市西益岡町6-52,宮城県,白石市,西益岡町,6-52,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,3,棟,,白石市,1993-12-24,,09:00,18:00（4～10月）、16：00（11～3月）,定休日：12月28日～12月31日,http://www.city.shiroishi.miyagi.jp/uploaded/image/279.jpg,,白石城主片倉家の家臣小関家の屋敷で、享保15年（1730）の建築であることが確認されています。,,白石城主片倉家の家臣小関家の屋敷で、享保15年（1730）の建築であることが確認されています。平成3年に白石市に母屋、門、塀が寄贈されたのを機に創建当時の姿に復原され、平成5年には宮城県指定文化財となっています。屋敷は白石城の北、沢端川沿いの鬱蒼とした庭木に囲まれた場所に建っています。,,,,有,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/362.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/279.jpg,,
042064,BB0420640008,宮城県白石市,旧上戸沢検断屋敷木村家住宅,キュウカミトザワケンダンヤシキキムラケジュウタク,,,県指定有形文化財,建造物,,,,宮城県白石市小原字上台27-2,宮城県,白石市,小原字上台,27-2,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,棟,,白石市,2004-3-30,,09：00,16：30,12月から翌年3月中旬までは休業,,,七ケ宿の宿駅の一つ、白石市上戸沢にあった木村家の母屋を、材木岩公園内に移築・復元したものです。,,七ケ宿の宿駅の一つ、白石市上戸沢にあった木村家の母屋を、材木岩公園内に移築・復元したものです。木村家は、上戸沢宿の伝馬や宿駅関係を取り締まる検断役を勤めた家で、本陣に準ずる役割を担っていました。茅葺き屋根で寄棟造の建物は、座敷部と居宅部からなる平屋建で、江戸中期頃の建築と推定されています。,,,,有,無,無,無,,無,無,,,,
042064,BB0420640009,宮城県白石市,嘉右衛門山の逆さケヤキ,カエモンヤマノサカサケヤキ,,,県指定天然記念物,,,,,宮城県白石市大平中目字梨ノ木平山3-1,宮城県,白石市,大平中目字梨ノ木平山,3-1,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,中目牧野農業協同組合,2005-5-10,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/295.jpg,,樹高は22メートル、幹周は最大で2メートル25センチ枝張りは東西36メートル、南北40メートルにも及ぶ壮大な樹容を誇っています。樹齢は推定300年程と考えられています。,,樹高は22メートル、幹周は最大で2メートル25センチ枝張りは東西36メートル、南北40メートルにも及ぶ壮大な樹容を誇っています。樹齢は推定300年程と考えられています。白石市大平中目字嘉右衛門山神山地内、かつて小原方面に通ずる旧山道が通っていたところに立っています。逆さケヤキという名前は、源義家のケヤキの杖が逆さに活着したものだという言い伝えによるものです。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/379.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/295.jpg,,
042064,BB0420640010,宮城県白石市,堂田遺跡,ドウデンイセキ,,,市指定史跡,,,,,宮城県白石市西益岡町6-52福岡八宮字堂田13-2,宮城県,白石市,福岡八宮字堂田,13-2,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,白石市,1973-7-25,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/281.jpg,,平安時代の草葺きか檜皮葺きの仏堂風の建物と推定されます。,,白石市福岡八宮、国道4号線を白石市街から北上し白鳥橋を渡ってすぐの交差点を西に1Km　ほど行ったところ、児捨川北岸の水田の中にあります。1メートル前後の自然石が5列6行に据えられています。礎石の間隔は1メートル60センチないし1メートル80センチで、その配置から平安時代の草葺きか檜皮葺きの仏堂風の建物と推定されます。この地域は、古くから山岳信仰や神々に関する伝説等も多く、堂田遺跡もそうした古代信仰上の中心的施設のひとつと考えられています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/365.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/281.jpg,,
