全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
131156,1.31156E+11,杉並区,高千穂大学大宮遺跡円墳出土遺物,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,釜寺東（近隣第一）遺跡出土古墳時代遺物,,,,有形文化財,考古資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,阿佐谷北五丁目四二番所在民間信仰石造物,,,,有形民俗文化財,信仰,,131156,,東京都杉並区阿佐谷北5-42,,,,,,35.712553,139.639491,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,木造馬頭観音立像,,,,有形文化財,彫刻,,131156,,東京都杉並区宮前3-1-3,,,,,,35.693142,139.609307,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,市川団蔵歴代の墓,,,,史跡,墓・碑,,131156,,東京都杉並区永福1-6-11,,,,,,35.6686,139.642896,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,福相寺木造大黒天像及び大黒天信仰関係等版木並びに石造物,,,,有形民俗文化財,信仰,,131156,,東京都杉並区堀ノ内3-48-58,,,,,,35.692993,139.653239,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,中野村・高円寺村・馬橋村三ヶ村用水記念碑,,,,有形文化財,歴史資料,成宗五色弁財天境内,131156,,東京都杉並区成田東5-29,,,,,,35.697856,139.631089,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,力石,,,,有形民俗文化財,競技・娯楽,,131156,,東京都杉並区善福寺1-33-1,,,,,,35.71603,139.595213,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,力石,,,,有形民俗文化財,競技・娯楽,,131156,,東京都杉並区大宮2-3-1,,,,,,35.682018,139.640671,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,昭和二十一年製樽神輿,,,,有形民俗文化財,信仰,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,立教女学院・聖マーガレット礼拝堂,,,,有形文化財,建造物,,131156,,東京都杉並区久我山4-29-60,,,,,,35.693535,139.589424,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,力石ならびに板絵着色力石持上図,,,,有形民俗文化財,信仰;娯楽・競技,,131156,,東京都杉並区荻窪1-56-10,,,,,,35.693766,139.627614,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,尾崎喜八関係資料（ガラス乾板　附ネガフィルム）,,,,有形文化財,歴史資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,柳井平八関係資料,,,,有形文化財,歴史資料,郷土博物館内,131156,,東京都杉並区大宮1-20-8,,,,,,35.685988,139.645467,,,,,,,,,,,,,,,,,,,,,,,,,
131156,1.31156E+11,杉並区,荻外荘旧蔵長胴太鼓,,,,有形文化財,歴史資料,荻外荘,131156,,東京都杉並区荻窪2-43-36,,,,,,35.69873,139.62233,,,,,,,,,,,,,,,,,,,,,,,,,
