指定等,区分,種別,名称,所有者,所在地,指定年月日,公開情報,備考,NO,区,緯度,経度
市認定,記念物,史跡,大日山浄水井戸,神沢東自治会,天竜区神沢,2019-03-15,,,775,天竜区,,
市認定,記念物,史跡,茂三塚,舘山寺町自治会,中央区舘山寺町,2020-03-27,,,776,中央区,,
市認定,記念物,史跡,桜塚,舘山寺町自治会,中央区舘山寺町,2020-03-27,,,777,中央区,,
市認定,記念物,史跡,新羅神社境内,個人,中央区江之島町,2020-03-27,,,778,中央区,,
市認定,記念物,史跡,東黒田奉行屋敷跡,個人,浜名区引佐町東黒田,2020-03-27,,,779,浜名区,,
市認定,記念物,史跡,得月寺境内,得月寺,浜名区引佐町兎荷,2020-03-27,,,780,浜名区,,
市認定,記念物,史跡,兎荷六所神社境内,兎荷区,浜名区引佐町兎荷,2020-03-27,,,781,浜名区,,
市認定,記念物,史跡,中瀬の霞堤,個人,浜名区中瀬,2020-03-27,,,782,浜名区,,
市認定,記念物,史跡,庚申寺境内,庚申寺,浜名区宮口,2020-03-27,,,783,浜名区,,
市認定,記念物,史跡,報恩寺境内,報恩寺,浜名区宮口,2020-03-27,,,784,浜名区,,
市認定,記念物,史跡,大屋敷墳墓,個人,浜名区宮口,2020-03-27,,,785,浜名区,,
市認定,記念物,史跡,陽泰院境内,陽泰院,浜名区宮口,2020-03-27,,,786,浜名区,,
市認定,記念物,史跡,鳥羽山の掘割,,天竜区二俣町二俣,2020-03-27,,,787,天竜区,,
市認定,記念物,史跡,二光の滝,,天竜区二俣町二俣・山東,2020-03-27,,,788,天竜区,,
市認定,記念物,名勝,白倉峡,白倉自治会,天竜区龍山町大嶺,2017-03-22,,,789,天竜区,,
市認定,記念物,名勝,龍山町瀬尻の不動の滝,瀬尻自治会,天竜区龍山町瀬尻,2018-03-22,,,790,天竜区,,
市認定,記念物,名勝,熊の黒滝,個人,天竜区熊,2019-03-15,,,791,天竜区,,
市認定,記念物,名勝,荒沢不動の滝,神沢西自治会,天竜区神沢,2019-03-15,,,792,天竜区,,
市認定,記念物,名勝,横山の雨乞淵,個人,天竜区横山町,2020-03-27,,,793,天竜区,,
市認定,記念物,名勝,横山の不動の滝,市場自治会,天竜区横山町,2020-03-27,,,794,天竜区,,
市認定,記念物,名勝,佐久の稚児の滝,個人,天竜区佐久,2020-03-27,,,795,天竜区,,
市認定,記念物,天然記念物,赤石構造線赤石裂線,,天竜区大谷,2017-03-22,,,796,天竜区,,
市認定,記念物,天然記念物,クロツバメシジミとツメレンゲ,静岡県,天竜区佐久間町,2017-03-22,,,797,天竜区,,
市認定,記念物,天然記念物,浜松秋葉神社のオガタマノキ,浜松秋葉神社,中央区三組町,2018-03-22,,,798,中央区,,
市認定,記念物,天然記念物,大野一本桜,個人,天竜区水窪町奥領家,2018-03-22,,,799,天竜区,,
市認定,記念物,天然記念物,兎荷鍾乳洞,兎荷区,浜名区引佐町兎荷,2020-03-27,,,800,浜名区,,
市認定,文化的景観,,六郎沢の水辺空間,個人,天竜区熊,2018-03-22,,,801,天竜区,,
市認定,文化的景観,,久留女木の棚田,,浜名区引佐町,2019-03-15,,,802,浜名区,,
市認定,文化的景観,,大栗安の棚田,大栗安棚田倶楽部,天竜区大栗安,2019-03-15,,,803,天竜区,,
市認定,文化的景観,,滝沢の石垣集落景観,,浜名区滝沢町,2020-03-27,,,804,浜名区,,
市認定,その他,伝承地,鎌砥池,頭陀寺町奉賛会,中央区頭陀寺町,2017-03-22,,,805,中央区,,
市認定,その他,伝承地,伝井平城跡,個人,浜名区引佐町伊平,2017-03-22,,,806,浜名区,,
市認定,その他,伝承地,伝井平氏居館跡,個人,浜名区引佐町伊平,2017-03-22,,,807,浜名区,,
市認定,その他,伝承地,伝井平氏の殿村居館跡,個人,浜名区引佐町伊平,2017-03-22,,,808,浜名区,,
市認定,その他,伝承地,伝鎧橋跡,川名自治会,浜名区引佐町川名,2017-03-22,,,809,浜名区,,
市認定,その他,伝承地,大蒲町のまつり道,浜松市,中央区大蒲町,2020-03-27,,,810,中央区,,
市認定,その他,伝承地,楠御前の墓,兎荷区,浜名区引佐町兎荷,2020-03-27,,,811,浜名区,,
市認定,その他,近代化遺産,満州道路,浜松市,中央区豊岡町,2017-03-22,,,812,中央区,,
市認定,その他,近代化遺産,光明電鉄阿蔵トンネル,栄林寺,天竜区二俣町二俣,2017-03-22,,,813,天竜区,,
市認定,その他,近代化遺産,光明電鉄二俣口駅ホーム跡,浜松市,天竜区二俣町阿蔵,2017-03-22,,,814,天竜区,,
市認定,その他,近代化遺産,鳥羽山洞門,浜松市,天竜区二俣町,2018-03-22,,,815,天竜区,,
市認定,その他,近代化遺産,旧太田製作所のトロッコ軌道跡,個人,天竜区二俣町二俣,2020-03-27,,,816,天竜区,,
市認定,その他,伝統的生活文化,水窪じゃがた,,天竜区水窪町,2020-03-27,,,817,天竜区,,
市認定,その他,伝統的生活文化,光明勝栗,光明勝栗保存会,天竜区只来,2020-03-27,,,818,天竜区,,
市認定,伝統的建造物群,,中野町の町並み（旧東海道沿）,,中央区中野町,2017-03-22,,,819,中央区,,
市認定,伝統的建造物群,,浦川の街並み,,天竜区佐久間町浦川,2020-03-27,,,820,天竜区,,
